'Name': 'Inception', 'Actress': 'Elliot_Page', 'Actor': 'Leonardo_DiCaprio', 'Year_of_Release': '2010', 'Director': 'Christopher_Nolan', 'Language': 'English', 'Movie_Categories': 'Sci-Fi', 'Rating': '8.8'
'Name': 'Drishyam', 'Actress': 'Meena', 'Actor': 'Mohanlal', 'Year_of_Release': '2013', 'Director': 'Jeethu_Joseph', 'Language': 'Malayalam', 'Movie_Categories': 'Thriller', 'Rating': '8.3'
'Name': '3_Idiots', 'Actress': 'Kareena_Kapoor', 'Actor': 'Aamir_Khan', 'Year_of_Release': '2009', 'Director': 'Rajkumar_Hirani', 'Language': 'Hindi', 'Movie_Categories': 'Comedy', 'Rating': '8.4'
'Name': 'The_Dark_Knight', 'Actress': 'Maggie_Gyllenhaal', 'Actor': 'Christian_Bale', 'Year_of_Release': '2008', 'Director': 'Christopher_Nolan', 'Language': 'English', 'Movie_Categories': 'Action', 'Rating': '9.0'
'Name': 'PK', 'Actress': 'Anushka_Sharma', 'Actor': 'Aamir_Khan', 'Year_of_Release': '2014', 'Director': 'Rajkumar_Hirani', 'Language': 'Hindi', 'Movie_Categories': 'Comedy', 'Rating': '8.1'
'Name': 'Interstellar', 'Actress': 'Anne_Hathaway', 'Actor': 'Matthew_McConaughey', 'Year_of_Release': '2014', 'Director': 'Christopher_Nolan', 'Language': 'English', 'Movie_Categories': 'Sci-Fi', 'Rating': '8.6'
'Name': 'Premam', 'Actress': 'Sai_Pallavi', 'Actor': 'Nivin_Pauly', 'Year_of_Release': '2015', 'Director': 'Alphonse_Puthren', 'Language': 'Malayalam', 'Movie_Categories': 'Romance', 'Rating': '8.3'
'Name': 'Bangalore_Days', 'Actress': 'Nazriya_Nazim', 'Actor': 'Dulquer_Salmaan', 'Year_of_Release': '2014', 'Director': 'Anjali_Menon', 'Language': 'Malayalam', 'Movie_Categories': 'Drama', 'Rating': '8.3'
'Name': 'Vikram', 'Actress': 'Gayathrie', 'Actor': 'Kamal_Haasan', 'Year_of_Release': '2022', 'Director': 'Lokesh_Kanagaraj', 'Language': 'Tamil', 'Movie_Categories': 'Action', 'Rating': '8.3'
'Name': 'Dangal', 'Actress': 'Fatima_Sana_Shaikh', 'Actor': 'Aamir_Khan', 'Year_of_Release': '2016', 'Director': 'Nitesh_Tiwari', 'Language': 'Hindi', 'Movie_Categories': 'Sports', 'Rating': '8.3'
'Name': 'Queen', 'Actress': 'Kangana_Ranaut', 'Actor': 'Rajkummar_Rao', 'Year_of_Release': '2013', 'Director': 'Vikas_Bahl', 'Language': 'Hindi', 'Movie_Categories': 'Comedy', 'Rating': '8.2'
'Name': 'Andhadhun', 'Actress': 'Tabu', 'Actor': 'Ayushmann_Khurrana', 'Year_of_Release': '2018', 'Director': 'Sriram_Raghavan', 'Language': 'Hindi', 'Movie_Categories': 'Thriller', 'Rating': '8.2'
'Name': 'The_Shawshank_Redemption', 'Actress': 'Renee_Blaine', 'Actor': 'Tim_Robbins', 'Year_of_Release': '1994', 'Director': 'Frank_Darabont', 'Language': 'English', 'Movie_Categories': 'Drama', 'Rating': '9.3'
'Name': 'The_Godfather', 'Actress': 'Diane_Keaton', 'Actor': 'Al_Pacino', 'Year_of_Release': '1972', 'Director': 'Francis_Ford_Coppola', 'Language': 'English', 'Movie_Categories': 'Crime', 'Rating': '9.2'
'Name': 'Forrest_Gump', 'Actress': 'Robin_Wright', 'Actor': 'Tom_Hanks', 'Year_of_Release': '1994', 'Director': 'Robert_Zemeckis', 'Language': 'English', 'Movie_Categories': 'Drama', 'Rating': '8.8'
'Name': 'The_Matrix', 'Actress': 'Carrie-Anne_Moss', 'Actor': 'Keanu_Reeves', 'Year_of_Release': '1999', 'Director': 'The_Wachowskis', 'Language': 'English', 'Movie_Categories': 'Sci-Fi', 'Rating': '8.7'
'Name': 'Gladiator', 'Actress': 'Connie_Nielsen', 'Actor': 'Russell_Crowe', 'Year_of_Release': '2000', 'Director': 'Ridley_Scott', 'Language': 'English', 'Movie_Categories': 'Action', 'Rating': '8.5'
'Name': 'Parasite', 'Actress': 'Cho_Yeo-jeong', 'Actor': 'Song_Kang-ho', 'Year_of_Release': '2019', 'Director': 'Bong_Joon-ho', 'Language': 'Korean', 'Movie_Categories': 'Thriller', 'Rating': '8.5'
'Name': 'KGF_Chapter_1', 'Actress': 'Srinidhi_Shetty', 'Actor': 'Yash', 'Year_of_Release': '2018', 'Director': 'Prashanth_Neel', 'Language': 'Kannada', 'Movie_Categories': 'Action', 'Rating': '8.2'
'Name': 'KGF_Chapter_2', 'Actress': 'Srinidhi_Shetty', 'Actor': 'Yash', 'Year_of_Release': '2022', 'Director': 'Prashanth_Neel', 'Language': 'Kannada', 'Movie_Categories': 'Action', 'Rating': '8.3'
'Name': 'Hridayam', 'Actress': 'Darshana_Rajendran', 'Actor': 'Pranav_Mohanlal', 'Year_of_Release': '2022', 'Director': 'Vineeth_Sreenivasan', 'Language': 'Malayalam', 'Movie_Categories': 'Romance', 'Rating': '8.1'
